,PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin
0,892,3,3,0,34.5,0,0,7.8292,0
1,893,3,2,1,47.0,1,0,7.0,0
2,894,2,3,0,62.0,0,0,9.6875,0
3,895,3,3,0,27.0,0,0,8.6625,0
4,896,3,2,1,22.0,1,1,12.2875,0
5,897,3,3,0,14.0,0,0,9.225,0
6,898,3,4,1,30.0,0,0,7.6292,0
7,899,2,3,0,26.0,1,1,29.0,0
8,900,3,2,1,18.0,0,0,7.2292,0
9,901,3,3,0,21.0,2,0,24.15,0
10,902,3,3,0,28.0,0,0,7.8958,0
11,903,1,3,0,46.0,0,0,26.0,0
12,904,1,2,1,23.0,1,0,82.2667,2
13,905,2,3,0,63.0,1,0,26.0,0
14,906,1,2,1,47.0,1,0,61.175,4
15,907,2,2,1,24.0,1,0,27.7208,0
16,908,2,3,0,35.0,0,0,12.35,0
17,909,3,3,0,21.0,0,0,7.225,0
18,910,3,4,1,27.0,1,0,7.925,0
19,911,3,2,1,45.0,0,0,7.225,0
20,912,1,3,0,55.0,1,0,59.4,0
21,913,3,0,0,9.0,0,1,3.1708,0
22,914,1,2,1,28.0,0,0,31.6833,0
23,915,1,3,0,21.0,0,1,61.3792,0
24,916,1,2,1,48.0,1,3,262.375,2
25,917,3,3,0,50.0,1,0,14.5,0
26,918,1,4,1,22.0,0,1,61.9792,2
27,919,3,3,0,22.5,0,0,7.225,0
28,920,1,3,0,41.0,0,0,30.5,5
29,921,3,3,0,28.0,2,0,21.6792,0
30,922,2,3,0,50.0,1,0,26.0,0
31,923,2,3,0,24.0,2,0,31.5,0
32,924,3,2,1,33.0,1,2,20.575,0
33,925,3,2,1,28.0,1,2,23.45,0
34,926,1,3,0,30.0,1,0,57.75,1
35,927,3,3,0,18.5,0,0,7.2292,0
36,928,3,4,1,28.0,0,0,8.05,0
37,929,3,4,1,21.0,0,0,8.6625,0
38,930,3,3,0,25.0,0,0,9.5,0
39,931,3,3,0,28.0,0,0,56.4958,0
40,932,3,3,0,39.0,0,1,13.4167,0
41,933,1,3,0,28.0,0,0,26.55,3
42,934,3,3,0,41.0,0,0,7.85,0
43,935,2,2,1,30.0,0,0,13.0,0
44,936,1,2,1,45.0,1,0,52.5542,3
45,937,3,3,0,25.0,0,0,7.925,0
46,938,1,3,0,45.0,0,0,29.7,5
47,939,3,3,0,28.0,0,0,7.75,0
48,940,1,2,1,60.0,0,0,76.2917,3
49,941,3,2,1,36.0,0,2,15.9,0
50,942,1,3,0,24.0,1,0,60.0,1
51,943,2,3,0,27.0,0,0,15.0333,0
52,944,2,4,1,20.0,2,1,23.0,0
53,945,1,4,1,28.0,3,2,263.0,1
54,946,2,3,0,28.0,0,0,15.5792,0
55,947,3,0,0,10.0,4,1,29.125,0
56,948,3,3,0,35.0,0,0,7.8958,0
57,949,3,3,0,25.0,0,0,7.65,6
58,950,3,3,0,28.0,1,0,16.1,0
59,951,1,4,1,36.0,0,0,262.375,2
60,952,3,3,0,17.0,0,0,7.8958,0
61,953,2,3,0,32.0,0,0,13.5,0
62,954,3,3,0,18.0,0,0,7.75,0
63,955,3,4,1,22.0,0,0,7.725,0
64,956,1,0,0,13.0,2,2,262.375,2
65,957,2,2,1,28.0,0,0,21.0,0
66,958,3,4,1,18.0,0,0,7.8792,0
67,959,1,3,0,47.0,0,0,42.4,0
68,960,1,3,0,31.0,0,0,28.5375,1
69,961,1,2,1,60.0,1,4,263.0,1
70,962,3,4,1,24.0,0,0,7.75,0
71,963,3,3,0,21.0,0,0,7.8958,0
72,964,3,4,1,29.0,0,0,7.925,0
73,965,1,3,0,28.5,0,0,27.7208,3
74,966,1,4,1,35.0,0,0,211.5,1
75,967,1,3,0,32.5,0,0,211.5,1
76,968,3,3,0,28.0,0,0,8.05,0
77,969,1,2,1,55.0,2,0,25.7,1
78,970,2,3,0,30.0,0,0,13.0,0
79,971,3,4,1,24.0,0,0,7.75,0
80,972,3,0,0,6.0,1,1,15.2458,0
81,973,1,3,0,67.0,1,0,221.7792,1
82,974,1,3,0,49.0,0,0,26.0,0
83,975,3,3,0,28.0,0,0,7.8958,0
84,976,2,3,0,28.0,0,0,10.7083,0
85,977,3,3,0,28.0,1,0,14.4542,0
86,978,3,4,1,27.0,0,0,7.8792,0
87,979,3,4,1,18.0,0,0,8.05,0
88,980,3,2,1,28.0,0,0,7.75,0
89,981,2,0,0,2.0,1,1,23.0,0
90,982,3,2,1,22.0,1,0,13.9,0
91,983,3,3,0,28.0,0,0,7.775,0
92,984,1,2,1,27.0,1,2,52.0,2
93,985,3,3,0,28.0,0,0,8.05,0
94,986,1,3,0,25.0,0,0,26.0,0
95,987,3,3,0,25.0,0,0,7.7958,0
96,988,1,2,1,76.0,1,0,78.85,1
97,989,3,3,0,29.0,0,0,7.925,0
98,990,3,4,1,20.0,0,0,7.8542,0
99,991,3,3,0,33.0,0,0,8.05,0
100,992,1,2,1,43.0,1,0,55.4417,1
101,993,2,3,0,27.0,1,0,26.0,0
102,994,3,3,0,28.0,0,0,7.75,0
103,995,3,3,0,26.0,0,0,7.775,0
104,996,3,2,1,16.0,1,1,8.5167,0
105,997,3,3,0,28.0,0,0,22.525,0
106,998,3,3,0,21.0,0,0,7.8208,0
107,999,3,3,0,28.0,0,0,7.75,0
108,1000,3,3,0,28.0,0,0,8.7125,0
109,1001,2,3,0,18.5,0,0,13.0,6
110,1002,2,3,0,41.0,0,0,15.0458,0
111,1003,3,4,1,28.0,0,0,7.7792,0
112,1004,1,4,1,36.0,0,0,31.6792,5
113,1005,3,4,1,18.5,0,0,7.2833,0
114,1006,1,2,1,63.0,1,0,221.7792,1
115,1007,3,3,0,18.0,1,0,14.4542,0
116,1008,3,3,0,28.0,0,0,6.4375,0
117,1009,3,4,1,1.0,1,1,16.7,7
118,1010,1,3,0,36.0,0,0,75.2417,1
119,1011,2,2,1,29.0,1,0,26.0,0
